"question_id","question","entity","entity_slug","coding_brint","coding_angel","coding_juan","human_response","entity_question_id"
10,"Does the PON have working groups where member organizations can participate in?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_10"
11,"Does accession into the PON depend on a decision by the incumbent member organizations?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_11"
12,"Does the PON clearly specify which types of organizations can become members?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_12"
13,"Do potential member organizations have to fulfil certain conditions to become members?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_13"
14,"Is there a process for membership suspension from the PON?","cOAlition S","coas",TRUE,FALSE,FALSE,FALSE,"coas_14"
15,"Are there members which have no voting power, such as observer members?","cOAlition S","coas",TRUE,FALSE,TRUE,TRUE,"coas_15"
1,"Are the procedures for decision-making in the PON specified?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_1"
2,"Are voting rules (such as simple majority) explicitly established?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_2"
3,"Are decisions made by simple majority voting by member organizations?","EU Health Coalition","euhc",FALSE,FALSE,FALSE,FALSE,"euhc_3"
4,"Are decisions made by consensus or unanimity by member organizations?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_4"
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consesus)?","EU Health Coalition","euhc",FALSE,FALSE,TRUE,FALSE,"euhc_5"
6,"Are there expert committees in the PON?","EU Health Coalition","euhc",TRUE,FALSE,FALSE,FALSE,"euhc_6"
7,"Does the PON have any unit or body in charge of the operations/day-to-day functioning/running/execution?","EU Health Coalition","euhc",FALSE,FALSE,FALSE,FALSE,"euhc_7"
8,"Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_8"
9,"Does the organization have an executive board where a subset of members participate and which make strategic decisions?","EU Health Coalition","euhc",FALSE,FALSE,FALSE,FALSE,"euhc_9"
10,"Does the PON have working groups where member organizations can participate in?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_10"
11,"Does accession into the PON depend on a decision by the incumbent member organizations?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_11"
12,"Does the PON clearly specify which types of organizations can become members?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_12"
13,"Do potential member organizations have to fulfil certain conditions to become members?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_13"
14,"Is there a process for membership suspension from the PON?","EU Health Coalition","euhc",TRUE,TRUE,TRUE,TRUE,"euhc_14"
15,"Are there members which have no voting power, such as observer members?","EU Health Coalition","euhc",FALSE,FALSE,FALSE,FALSE,"euhc_15"
1,"Are the procedures for decision-making in the PON specified?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_1"
2,"Are voting rules (such as simple majority) explicitly established?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_2"
3,"Are decisions made by simple majority voting by member organizations?","Council of European Energy Regulators","ceer",FALSE,FALSE,FALSE,FALSE,"ceer_3"
4,"Are decisions made by consensus or unanimity by member organizations?","Council of European Energy Regulators","ceer",TRUE,FALSE,TRUE,TRUE,"ceer_4"
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consesus)?","Council of European Energy Regulators","ceer",FALSE,FALSE,FALSE,FALSE,"ceer_5"
6,"Are there expert committees in the PON?","Council of European Energy Regulators","ceer",TRUE,FALSE,TRUE,TRUE,"ceer_6"
7,"Does the PON have any unit or body in charge of the operations/day-to-day functioning/running/execution?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_7"
8,"Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_8"
9,"Does the organization have an executive board where a subset of members participate and which make strategic decisions?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_9"
10,"Does the PON have working groups where member organizations can participate in?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_10"
11,"Does accession into the PON depend on a decision by the incumbent member organizations?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_11"
12,"Does the PON clearly specify which types of organizations can become members?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_12"
13,"Do potential member organizations have to fulfil certain conditions to become members?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_13"
14,"Is there a process for membership suspension from the PON?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_14"
15,"Are there members which have no voting power, such as observer members?","Council of European Energy Regulators","ceer",TRUE,TRUE,TRUE,TRUE,"ceer_15"
1,"Are the procedures for decision-making in the PON specified?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_1"
2,"Are voting rules (such as simple majority) explicitly established?","Climate Action Network","can",FALSE,TRUE,TRUE,TRUE,"can_2"
3,"Are decisions made by simple majority voting by member organizations?","Climate Action Network","can",FALSE,FALSE,FALSE,FALSE,"can_3"
4,"Are decisions made by consensus or unanimity by member organizations?","Climate Action Network","can",FALSE,TRUE,TRUE,TRUE,"can_4"
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consesus)?","Climate Action Network","can",TRUE,FALSE,TRUE,TRUE,"can_5"
6,"Are there expert committees in the PON?","Climate Action Network","can",TRUE,TRUE,FALSE,TRUE,"can_6"
7,"Does the PON have any unit or body in charge of the operations/day-to-day functioning/running/execution?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_7"
8,"Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_8"
9,"Does the organization have an executive board where a subset of members participate and which make strategic decisions?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_9"
10,"Does the PON have working groups where member organizations can participate in?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_10"
11,"Does accession into the PON depend on a decision by the incumbent member organizations?","Climate Action Network","can",TRUE,TRUE,FALSE,TRUE,"can_11"
12,"Does the PON clearly specify which types of organizations can become members?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_12"
13,"Do potential member organizations have to fulfil certain conditions to become members?","Climate Action Network","can",TRUE,TRUE,TRUE,TRUE,"can_13"
14,"Is there a process for membership suspension from the PON?","Climate Action Network","can",TRUE,TRUE,FALSE,TRUE,"can_14"
15,"Are there members which have no voting power, such as observer members?","Climate Action Network","can",FALSE,TRUE,TRUE,TRUE,"can_15"
